,Account,Text,Date,datetime,compound,neg,neu,pos
49,BBC North America,Is it fair for a politician to use Tinder to win votes? https://t.co/V6s6iTmpq7,2018-06-25,2018-06-25 17:54:02-04:00,0.7269,0.0,0.621,0.379
50,BBC North America,Trump to Waters: 'Be careful what you wish for Max' https://t.co/0YV8h5SQXv,2018-06-25,2018-06-25 16:01:30-04:00,0.5106,0.0,0.677,0.323
51,BBC North America,California scientist shot dead while camping with daughters https://t.co/I3VJ1J7bgX,2018-06-25,2018-06-25 14:05:10-04:00,-0.6486,0.35,0.65,0.0
52,BBC North America,Pentagon: Two military bases to house migrants https://t.co/IlZSwUP4A8,2018-06-25,2018-06-25 12:57:16-04:00,0.0,0.0,1.0,0.0
53,BBC North America,Laura Ingalls Wilder removed from book award over racist language https://t.co/6B5K4oRvM0,2018-06-25,2018-06-25 12:31:05-04:00,-0.128,0.242,0.545,0.212
54,BBC North America,Former Nato chief Javier Solana denied US visa waiver https://t.co/rUQj5xU2sO,2018-06-25,2018-06-25 11:17:27-04:00,-0.4404,0.244,0.756,0.0
55,BBC North America,Woman 'calls police' on eight-year-old for selling water #PermitPatty https://t.co/ZZ2f8xuOAR,2018-06-25,2018-06-25 09:32:15-04:00,0.0,0.0,1.0,0.0
56,BBC North America,"RT @Tara_Mckelvey: I spoke with @williamcrawley on BBC Radio 4’s Sunday programme about President Trump, Attorney General Jeff Sessions and…",2018-06-25,2018-06-25 09:21:45-04:00,0.0,0.0,1.0,0.0
57,BBC North America,"RT @ImAidenJohnson: At the U.S. Supreme Court with BBC’s @csbuckler waiting for a possible ruling on the president’s travel ban, which rest…",2018-06-25,2018-06-25 09:19:31-04:00,0.0,0.137,0.725,0.137
58,BBC North America,Roseanne Barr regrets becoming 'hate magnet' https://t.co/8nkcZQ1T6p,2018-06-25,2018-06-25 03:11:17-04:00,-0.7351,0.554,0.446,0.0
59,BBC North America,Police geeks trying to win over old-school cops https://t.co/j6CdXGuJaK,2018-06-24,2018-06-24 20:40:34-04:00,0.5267,0.115,0.574,0.311
60,BBC North America,Trump calls for deportations without judicial process https://t.co/GujfWGBgyb,2018-06-24,2018-06-24 15:18:36-04:00,0.0,0.0,1.0,0.0
61,BBC North America,"Han Solo 'blaster' fetches $550,000 in New York https://t.co/5excvDy4PI",2018-06-24,2018-06-24 05:08:14-04:00,0.0,0.0,1.0,0.0
62,BBC North America,Woman 'humiliated' by Walgreens over drugs to end pregnancy https://t.co/wRB5pTZqzA,2018-06-24,2018-06-24 02:28:34-04:00,0.0,0.0,1.0,0.0
63,BBC North America,What impact has Donald Trump had on illegal immigration? https://t.co/9XpVTcBc6L,2018-06-23,2018-06-23 21:14:34-04:00,-0.5574,0.286,0.714,0.0
64,BBC North America,"Obituary: Suman Virk, the mother who forgave her daughter's killer https://t.co/SjSr2n7qme",2018-06-23,2018-06-23 20:48:55-04:00,-0.4404,0.274,0.573,0.153
65,BBC North America,French jogger detained after crossing US-Canada border https://t.co/zEkqAlpZkd,2018-06-23,2018-06-23 18:17:37-04:00,-0.4019,0.278,0.722,0.0
